SabioReactionID	ECNumber
16349	3.7.1.17
9752	3.1.2.6
15682	3.4.22.n14
10982	1.5.1.2
16346	2.4.1
10898	3.4.22.10
15052	1.17.1.8
13673	3.6.1.56
6972	2.4.1.17
13737	2.7.11.1
11812	3.4.11.19
7910	1.1.1.213
10376	1.1.1.21
10952	6.2.1.3
51	6.3.4.3
1748	2.7.1.2
14576	-
10155	3.5.1.4
14263	1.1.99.36
9604	3.4.19.5
1087	1.5.1.7
15335	2.7.7.77
10308	1.1.1.37
15222	-
15273	2.7.1
15419	2.7.4.9
5235	4.6.1.12
8134	1.5.1.24
14770	-
2217	1.1.1.2
9874	1.1.1.50
10798	1.1.1.21
9941	1.1.1.21
9121	2.7.1.202
9873	2.4.1.17
2554	2.7.1.13
13152	4.4.1.1
12944	2.7.1.33
14950	1.2.1.11
7167	1.14.20.1
12013	5.1.1
7004	1.11.1.14
16119	2.3.1.5
14072	-
9796	2.3.1
2364	4.2.1.82
7102	2.5.1
1110	2.1.2.1
15853	3.1.1
10991	3.4.14.5
7154	1.14.20.1
12613	2.7.1.172
2457	1.2.1.39
13351	1.14.14.1
12803	3.1.2.20
7184	1.3.3.10
11728	3.4.14.1
15583	3.2.2
8062	1.1.1.1
10356	1.1.1.21
12851	2.3.1.274
15585	3.2.2
12394	1.14.13.24
6792	1.2.1.5
250	3.1.3.16
15103	3.7.1.17
15771	1.10.3.1
11204	2.6.1.7
2351	1.1.1.25
7253	1.11.1.7
11218	1.1.1.8
14374	3.1.27
1971	6.3.1.9
14536	-
13520	2.4.1.187
1387	1.1.2.8
1723	2.7.1.1
16361	2.7.11.32
16277	1.2.4.1
10348	1.1.1.21
14512	3.2.1.123
1686	5.4.2.11
981	6.3.2
7742	1.4.1.21
16301	2.3.1.286
1029	1.11.1.11
9663	2.3.3.13
212	2.7.1.74
10303	1.1.3.7
11238	2.3.1
11192	1.11.1.1
11278	3.4.13.9
13531	1.3.1.34
34	-
15306	2.7.7.12
75	2.7.11.24
14167	1.2.3.1
14077	3.1.4
15970	1.3.5.2
13966	1.8.1.4
9833	1.2.1.31
9855	5.3.1.5
13921	-
13648	1.4.1.13
7240	1.14.13
13268	2.4.2.1
1290	4.3.1.17
13445	2.7.11.1
1352	2.6.1.57
8145	3.5.1.11
6898	1.1.1.21
13035	3.1.4.46
9797	3.4.11.2
152	2.3.3.9
7905	3.2.1.96
15379	1.3.1
7881	1.1.1.184
12036	1.1.1.2
13483	3.4.21
3503	3.5.2.6
3858	4.2.1.17
5321	1.14.14.37
7124	1.1.1.2
16421	2.4.1.230
13937	-
14811	1.11.1.16
10577	3.4.11.1
2349	2.4.1.82
6732	1.1.1.50
12170	3.6.1.13
14523	1.7.2.2
113	1.1.1.27
14914	1.1.1.14
1116	2.7.1.4
15018	6.3.1.13
4399	1.1.1.35
13038	2.4.1.85
16319	1.11.1.7
825	2.6.1.1
2874	5.4.2.6
4719	1.14.11
6814	1.3.8.8
14144	2.1.1.267
14996	1.1.1
14033	3.4.21.26
9123	2.7.7.69
11303	3.2.2.6
1816	1.2.1.3
3283	3.2.1.18
16328	2.1.1.n7
13688	6.3.5.1
14622	2.7.4.8
10294	3.1.1.13
210	3.1.3.5
11494	1.3.8.1
13746	2.7.11.1
7192	3.1.3.2
16476	7.2.2.22
11514	1.1.1.50
470	1.3.1.1
7289	1.17.1.4
13847	3.4.24.27
10896	3.4.22.10
15553	1.1.1.42
13956	2.6.1.7
14804	1.11.1.16
11392	2.1.3.2
425	1.1.1.8
828	1.4.3.1
13538	1.14.14.91
12112	1.1.1.n11
13539	1.14.14.91
1159	1.13.11.39
15009	3.3.2.10
13172	1.13.11.75
10892	3.4.22.10
10378	3.1.3.11
15836	1.13.11.11
14051	6.3.1.9
5391	2.7.1.151
15477	2.7.1.121
11110	2.8.3.9
1293	1.1.1
12074	3.1.4.37
14055	6.3.1.9
6786	1.2.1.48
1423	3.1.3.25
10128	3.5.1.4
7661	1.11.1.7
10117	1.11.1.1
10873	2.7.1.4
15732	1.1.1.370
13028	3.2.2.16
1863	4.1.1.1
15011	3.3.2.10
14868	1.14.14.42
5394	2.7.1.149
15659	4.1.1.49
4467	1.1.1.50
947	2.7.7.4
3253	3.5.4.26
12227	3.1.1.25
7989	1.1.3.4
8383	3.1.21.3
14484	3.4.24.18
10660	1.1.1.50
23	2.7.1.11
6649	3.1.4.11
15360	4.1.2.47
13323	3.5.2.2
13759	3.4.21.4
8075	6.2.1.1
13869	3.4.24.27
10665	2.3.1.24
12449	3.2.1.122
2008	2.7.1.8
13606	3.1.1.81
12716	2.1.1.128
15530	2.1.1.175
13832	3.1.1.41
302	3.6.1.23
1977	2.3.1.21
15026	5.3.99.2
9640	1.2.1.59
4793	5.1.3.20
7266	3.5.2.6
9928	1.1.1.272
12322	3.2.1.45
7936	1.1.1.184
9621	6.3.2.4
16056	-
7634	1.14.14.19
2147	1.4.3.4
9642	6.1.1.16
749	2.2.1.6
11134	1.2.1.3
14331	3.4.23.20
10329	2.5.1.18
16226	2.1.1.374
899	4.1.1.19
11537	1.1.1.150
7935	1.1.1.184
401	2.4.2.10
12806	3.1.2
301	3.6.1.9
409	6.1.1.20
11317	2.7.7.1
10832	4.4.1.5
11267	3.1.4.1
1245	6.2.1.36
12124	2.3.2.10
15886	2.3.1.199
14105	3.2.1.3
3584	2.7.7.50
14582	1.1.1
1435	2.7.1.1
14234	2.4.1.320
2934	2.4.1.121
14627	2.4.1
15559	2.3.1.74
7912	1.1.1.210
11696	1.1.1.213
4380	1.3.1.39
245	3.6.1
11864	3.1.1.1
10385	4.4.1.3
945	3.1.2.12
14009	2.4.1.69
11209	1.1.1.239
15863	-
200	3.6.4.13
9863	1.1.1
16405	3.7.1.4
3224	3.1.3.7
597	1.1.1.184
7127	1.1.1.47
15874	3.1.3.76
2167	6.2.1.12
2060	2.7.7.14
10040	1.2.1.49
9956	3.1.3.23
1796	2.1.1.45
13578	2.3.2.15
9627	6.3.2.4
3739	1.1.1.195
10961	2.7.1.95
2310	1.16.3.1
14838	3.1
10233	3.5.1.3
11715	3.4.23.16
13477	3.2.1.78
2561	1.13.11.6
6132	-
7588	1.14.14.1
14738	1.1.1
15779	2.1.2.1
14166	1.2.3.1
8114	3.1.1.7
10616	3.4.21
11030	1.3.1.20
12714	2.1.1
11505	1.1.1.239
6966	1.2.1.3
16374	1.5.3
7076	2.6.1.19
735	3.6.1.29
10546	3.1.2.1
10517	3.1.2.6
9757	2.3.1
13498	2.5.1.18
14256	1.1.99.36
9738	5.1.1
14240	1.1.99.36
329	3.5.1.16
9859	1.1.1.2
10790	1.1.1.2
13920	-
12952	2.3.1.13
927	6.3.2.3
7953	3.1.3.36
14211	3.5.1
2900	1.1.1.2
12813	3.4.13.9
6925	1.2.1.5
10430	3.2.1.73
14218	3.4.11
1118	3.1.3.46
19	1.1.1.121
561	4.1.2.43
15975	4.2.3.91
7911	1.3.1.20
12323	2.1.1.41
10579	3.4.13
13763	2.4.1.13
16359	2.1.3.15
14983	5.3.99.2
14957	5.3.99.4
15098	1.8.1.4
14194	2.4.1
16216	5.4.3.6
13326	3.5.2.16
9610	1.1.1.28
12764	1.7.1.6
14282	1.1.99.36
15392	4.3.3.6
9886	1.1.1.50
697	3.1.3.108
14161	-
289	3.5.1.5
6573	3.1.2.2
1119	2.7.1.90
8104	3.1.1.1
11908	2.3.1.42
16089	3.4.22
7929	3.5.1.99
11022	4.2.1.92
11199	1.11.1.1
15879	3.4.22
15626	4.2.1.131
75	5.6.1.1
10051	1.1.1.37
7015	2.7.3.9
11294	1.2.1.88
15551	-
1265	2.4.1.20
15993	1.13.11.52
12343	3.2.1.21
14823	1.1.1.18
14341	3.5.1.124
13175	1.13.11.75
13455	2.7.1.106
2951	1.1.1
10669	2.3.1.24
6535	1.3.3.6
16235	2.9.1.3
10779	1.1.1.21
2036	2.4.1.44
10027	1.2.1.23
13041	-
9617	1.1.1.272
9776	5.1.1
1335	1.2.1.59
6609	3.5.2.6
12929	3.4.17.11
9929	1.1.1.159
13100	3.2.1.22
7672	1.14.14.19
7270	1.1.1.121
15216	-
16007	2.3.2.21
16265	2.7.1.215
15380	1.3.1
554	1.1.1.55
2354	2.3.1.133
13133	2.4.1.126
15369	2.8.2
11656	1.14.18.1
9580	2.7.1.1
11983	1.1.1.213
14385	2.8.3.18
13388	-
14319	3.1.3
10339	3.4.16.4
7281	1.4.1.20
6426	1.6.5.2
6988	1.11.1.14
14015	1.14.14.1
76	3.1.3.2
6490	1.2.1.3
15160	1.13.11.31
15189	1.1.1.42
2438	3.5.3.18
10275	3.5.2.6
901	1.1.3.15
2004	2.6.1.7
3481	2.3.1.65
7159	2.7.2.3
14976	2.1.1.146
10785	1.1.1.21
10460	1.11.1.5
7146	1.14.14.55
4296	3.2.1.18
13691	3.2.1.4
13097	3.4.17.23
10588	3.4.13
10816	1.1.1.21
1038	4.4.1.11
159	1.1.1.21
14556	1.4.99
444	3.6.1.6
13461	-
9766	3.1.1.1
13618	-
1442	4.2.1.9
13512	1.1.1.18
425	1.1.1.79
15224	2.4.1
14882	1.1.1.14
12150	3.5.2.6
10997	3.2.1.3
13333	1.14.14.38
15116	1.13.11.11
12707	1.5.3.18
16315	1.11.1.7
10039	3.2.1.55
10209	1.2.1.5
16074	1.14.11.2
15670	1.2.4.1
14196	2.7.11.1
10346	-
15295	2.7.7.76
1516	3.1.2.23
6562	1.7.2.1
12160	2.3.1.23
11609	3.4.22.51
167	1.2.3.3
7192	3.1.3.48
13645	3.2.2.21
1095	1.3.1.43
11030	1.1.1.149
7930	5.3.3.1
12014	5.1.1
9556	3.1.3.29
9555	2.7.1.60
6816	1.3.8.7
13457	2.7.4.6
501	3.1.3.31
211	3.1.3.2
13809	3.1.2
834	2.1.1.20
16470	2.4.1.359
1954	1.1.1.14
618	3.2.1.25
11235	2.3.1
15048	2.1.2.1
12854	2.4.2.1
15904	2.8.2.1
10564	3.1.1.1
15519	3.4.22.n14
11990	1.3.1.20
11688	3.4.22
6716	4.1.1.33
3182	1.14.11
11938	3.4.22
7881	1.1.1.50
431	4.1.1.47﻿
13790	3.5.1.104
12247	3.3.2.10
10023	1.1.1.21
10608	3.4.21
3591	2.1.1.117
11976	1.1.1.51
9485	-
870	2.7.7.23
11436	1.11.1.7
9826	3.4.11.2
11906	1.17.3.2
16003	1.8.4.14
11963	1.1.1.62
419	1.1.1.93
11613	1.1.3.9
6777	1.1.1.2
7146	1.14.14.57
9600	1.4.3.3
1090	3.6.1
16249	5.3.1.28
14338	1.13.11.31
13925	3.4
13836	2.4.1
15538	1.14.13.225
12593	3
9073	1.14.13.225
1858	1.1.1.21
7842	3.4.11.1
13687	2.7.11.1
11030	1.1.1.213
6746	3.1.2
10402	5.5.1.1
14675	2.4.1.344
14590	2.7.1.201
11166	3.1.1.1
11991	1.1.1.62
12372	3.7.1.8
15300	2.7.7.76
15976	4.2.3
15259	6.1.1.6
9678	1.13.12.16
7308	6.3.2.3
587	2.7.7.13
2298	2.8.2.4
13460	-
15045	1.10.5.1
10349	3.4.19.3
14719	-
8030	1.1.1.50
14454	2.3.1.118
7839	1.14.13.39
15334	2.7.7.76
11040	4.6.1.18
1654	1.1.1.19
988	5.1.1.1
7100	2.6.1.19
15973	3.1.3.16
12409	3.1.1.1
1988	1.1.1.87
2512	3.7.1.8
6682	6.3.1
14652	2.1.2.11
7829	1.1.1.153
15980	4.2.3
14384	2.8.3.18
6810	1.3.8.8
10369	2.6.1.15
14215	3.1.1.72
7824	2.8.2.4
4796	2.1.1.127
16222	3.6.1.52
12164	1.11.1.21
14688	1.13.11.45
10253	3.5.2.6
11583	-
14716	1.14.13
8017	3.1.1.1
15148	1.2.5.3
3559	3.2.1.25
194	2.4.2.8
16494	7.6.2.5
10848	4.4.1.5
76	3.6.1
7755	1.1.1.2
10866	1.14.14.1
15149	1.2.5.3
13792	2.8.2.21
1320	4.4.1.1
6668	1.5.99.12
16345	2.4.1
9897	1.1.1.146
11466	2.3.1.60
14635	6.3.2
15662	2.3.1
9909	3.1.1.1
15252	2.7.7.13
11973	1.1.1.51
16406	2.3.1
13744	2.7.11.1
932	2.7.7.9
14071	-
4406	1.1.1
12353	3.2.1.21
16420	2.4.1.230
11997	3.2.1.45
10117	1.1.1.213
393	1.1.5.3
3145	1.1.1.96
1303	2.7.1.209
14966	1.14.99.1
12744	1.1.1.1
1862	1.1.1.90
10024	3.5.1.11
6482	1.5.3
471	1.3.1.2
10952	6.2.1
13362	1.20.4
15785	1.10.3.2
10056	2.3.1.85
16025	1.14.14.141
3607	1.3.8.8
773	4.1.1.71
8539	2.7.7.13
10596	3.2.1.70
16131	4.2.99
10429	3.2.1.73
6664	1.5.99.12
8093	1.1.1.50
490	1.1.1.43
6444	2.1.1.103
13426	-
7057	1.2.99.7
1497	2.3.1.50
14035	3.4.21.5
1603	3.5.3.12
11685	3.4.22.57
8084	1.1.1.184
14129	2.7.7
10967	1.11.1.1
11603	3.4.22.51
16128	1.8.1.16
10704	3.4.11
10181	1.1.1.27
10085	1.14.14.1
3295	1.1.1.1
9750	2.3.1
7124	1.1.1.1
10000	-
6621	2.5.1.18
2967	2.5.1.47
12100	2.6.1.49
14388	2.8.3.18
295	3.1.3
13816	3.1.2
8156	3.5.1.14
20	2.1.1.72
14589	1.2.1.95
8493	4.2.1.106
1929	6.4.1.3
13438	3.4.16.4
14735	1.1.1
13712	2.4.1.17
16416	2.7.11.1
760	6.3.1.2
12155	1.1.1.263
14981	3.5.1.52
13517	5.3.2.6
10916	3.4.22.10
11305	3.2.1.23
15745	4.3.2.3
541	1.2.1.4
10070	1.4.3.2
2264	4.3.1.4
13500	3.2.1.136
16331	2.1.1.n7
1614	1.1.1.18
10047	3.1.1.1
15135	2.1.1.145
12910	1.14.19.1
6868	4.3.1
448	2.7.7.49
6827	2.3.2.13
2762	2.4.1.17
10649	1.8.1.15
12207	1.14.13.84
8151	3.5.1.14
1606	1.2.1.48
2463	1.1.1
2077	5.4.2.10
11581	3.4
11606	3.4.22.51
13811	3.1.2
10838	2.3.1.9
15622	2.3.1.133
8152	3.4.13
15700	2.8.2.15
6641	2.7.1.1
11944	3.3.2.10
10853	1.2.1.87
729	2.7.1.35
11781	3.4.22
14043	6.3.1.9
11839	3.4.22.2
14290	2.7.4.21
9833	1.2.1.26
6549	3.2.1
11912	3.4.21.39
15898	3.5.4.25
14333	3.4.23.20
10758	1.1.1.1
8980	2.7.1.208
13653	2.4.1.13
6978	1.11.1.14
1767	2.3.1.39
11896	1.17.3.2
13356	3.1.4.39
13283	1.14.14.37
10906	3.4.22.10
11487	1
1816	1.2.1.5
14259	1.1.99.36
11556	3.4.22.37
13125	3.1.1.1
6490	1.2.1.19
1007	2.7.4.9
12033	1.2.3.14
10124	1.2.1.49
7839	1.16.1.7
11468	2.3.1.60
10953	6.2.1.3
16122	3.4.22.69
12056	2.7.1.3
14480	3.4.24.18
5426	3.5.1.24
2773	1.1.1.236
13186	6.2.1.n2
6678	1.14.18.1
14217	3.4.11
10105	3.5.1.4
15728	3.6.4.13
7793	1.1.1.49
14195	3.5.1
14372	1
12943	2.7.1.33
10884	1.1.1.27
9868	3.2.1.21
11683	-
395	1.1.1.2
15836	1.13.11.52
4514	1.21.3.1
13665	3.4.21
11828	3.4.22.2
314	2.7.4.11
9902	1.1.1.29
10453	5.4.99.2
10321	2.5.1.18
75	3.6.1.3
11151	1.2.1.19
14054	6.3.1.9
10014	1.1.1.218
6522	1.3.3.6
13077	1.1.1.209
12889	3.1.4.52
4398	2.3.1.16
6118	1.3.1.77
10520	3.8.1
13659	3.4.21.59
14375	2.4.1.299
11497	3.4.22.25
1781	1.1.1.2
6721	-
7853	4.1.1.49
11612	3.4.22.51
13649	1.3.1.95
3141	3.1.4.43
15518	3.4.22.n14
4457	1.14.15.15
13958	2.6.1.7
10245	3.5.2.6
6785	1.2.1.3
15237	2.8.2
16168	6.3.2.8
12162	3.1.4
12451	3.2.1.122
15165	1.13.12.16
13207	1.14.14.25
10897	3.4.22.10
6874	6.2.1.36
623	1.13.11.63
5918	1.14.11.15
9598	3.5.3.1
1917	1.1.1.213
9171	3.2.1.93
11626	3.4.17.1
434	1.2.1.4
11600	3.4.22.51
15849	1.3.1.22
12344	3.2.1.21
11345	3.4.16.4
1147	3.2.1.48
10048	3.5.1.11
13906	-
1443	1.2.4.4 2.3.1.168 1.8.1.4
13492	5.5.1.6
276	2.7.8.5
13907	-
6993	2.7.9.4
594	4.1.1.17
10234	3.5.2.6
14730	1.1.1
857	1.4.1.8
13141	3.1.4.2
10524	3.8.1
6882	1.1.1.169
12425	3.1.1.1
7225	1.4.3.21
6501	1.1.1.21
6671	1.6.5.2
14588	1.2.1.95
3272	2.7.1.151
16022	3.4.21
13610	3.6.1
2333	1.3.1.24
12299	-
11292	3.1.2.17
7764	6.3.2.1
163	1.2.1.57
1971	6.3.1.8
15317	2.7.7.76
12734	3.1.2
7997	1.1.1.21
15807	1.10.3.2
12737	3.1.2.23
5301	1.5.1.36
