Balaband J,H bond acceptor,H bond donor,MW,TPSA,logP,ECNumber
2.572326379287313,7.0,6.0,260.02971862600003,156.91,-3.104399999999999,5
4.30261058219916,21.0,13.0,767.0254640879998,436.04,-5.5408300000000015,2
2.6740286330746827,8.0,7.0,339.9960491479999,203.44,-2.9858,4
3.550748721097319,4.0,3.0,169.998024574,104.06,-1.3445000000000005,5
8.180443307420967,22.0,14.0,932.09131803609,500.0799999999999,-6.152739999999995,1
8.180443307420967,22.0,14.0,932.09131803609,500.0799999999999,-6.152739999999995,1
8.180443307420967,22.0,14.0,932.09131803609,500.0799999999999,-6.152739999999995,1
5.4103939640235685,18.0,11.0,692.9886846559998,403.42,-3.896830000000002,2
5.4103939640235685,18.0,11.0,692.9886846559998,403.42,-3.896830000000002,2
4.101477779413871,4.0,4.0,185.992939194,124.29000000000002,-1.4588000000000003,4
5.257112855243928,16.0,8.0,595.0117894499998,333.5,-2.7780300000000016,2
4.323818387262321,20.0,12.0,687.0591335659998,389.51,-5.659430000000002,2
4.323818387262321,20.0,12.0,687.0591335659998,389.51,-5.659430000000002,2
2.747846398413265,7.0,6.0,260.02971862600003,156.91,-3.1044,5
5.20673536634891,13.0,11.0,440.09310673,267.29,-6.325800000000001,2
2.572326379287313,7.0,6.0,260.02971862600003,156.91,-3.104399999999999,5
4.392647499522139,17.0,11.0,608.0768186319999,336.92999999999995,-4.784830000000001,2
4.321162103663016,17.0,10.0,591.0978884239998,322.75,-4.747230000000001,2
4.304436324785904,20.0,12.0,765.9938296119999,426.8299999999999,-4.34263,1
3.7920370777851256,23.0,13.0,844.17978636009,428.63999999999993,-7.101039999999996,1
3.7920370777851256,23.0,13.0,844.17978636009,428.63999999999993,-7.101039999999996,1
3.7920370777851256,23.0,13.0,844.17978636009,428.63999999999993,-7.101039999999996,1
2.4190854038944254,32.0,10.0,1232.26306856,484.59,-2.3941599999999954,2
2.6740286330746827,8.0,7.0,358.00661383199986,234.94,-3.8105,3
4.141264045086134,23.0,13.0,886.9867092299996,488.26,-2.510840000000001,2
4.128897210929656,24.0,13.0,886.0026936419997,494.31,-3.5024400000000018,2
3.805324002389494,24.0,13.0,910.9979426099997,496.97,-3.256150000000001,2
4.171760878438132,7.0,7.0,280.055933374,199.41,-4.2931,3
5.185527561285749,14.0,12.0,519.075421664,319.61,-6.240799999999999,2
2.047085489928952,14.0,8.0,500.0110611779998,305.42,-1.530720000000001,2
3.4907296603908136,3.0,3.0,165.063722452,132.12,-1.5616,3
5.519151985529071,14.0,10.0,580.9614072879998,348.18,-2.6213200000000008,4
6.215104024094819,23.0,15.0,877.0023592939997,510.64,-6.220330000000002,2
2.114861902481824,11.0,8.0,342.11621152399994,189.53,-5.397199999999993,4
1.504533286024158,17.0,9.0,705.159443124,331.53,-3.416029999999993,3
2.847037490924253,31.0,15.0,1171.1121437180898,597.3899999999999,-6.317669999999996,2
3.2958435742593686,32.0,17.0,1274.1109544239998,625.6899999999999,-4.912359999999998,2
4.795635005606359,8.0,5.0,302.04028331000006,170.82,-2.691,1
4.795635005606359,8.0,5.0,302.04028331000006,170.82,-2.691,1
4.795635005606359,8.0,5.0,302.04028331000006,170.82,-2.691,1
4.795635005606359,8.0,5.0,302.04028331000006,170.82,-2.691,1
4.878124253318918,32.0,22.0,1425.3326229939998,710.53,-4.805649999999993,6
5.661882010200386,12.0,7.0,492.0182411359999,272.21,-1.15812,2
6.833689778754108,4.0,1.0,132.005873228,88.50999999999999,-0.9235,2
5.649515176043908,13.0,7.0,491.0342255479999,278.26,-2.1497200000000007,2
5.325941967503745,13.0,7.0,516.0294745159998,280.92,-1.90343,2
5.254456571644623,13.0,6.0,499.0505443079999,266.74,-1.8658300000000003,2
4.811025486389172,21.0,11.0,899.1574676979999,421.16,-2.672629999999994,2
4.811025486389172,21.0,11.0,899.1574676979999,421.16,-2.672629999999994,2
2.711067415879212,36.0,17.0,1473.24217190209,681.8899999999999,-6.004069999999989,1
2.711067415879212,36.0,17.0,1473.24217190209,681.8899999999999,-6.004069999999989,1
3.596335312713332,23.0,13.0,894.1355521980901,454.94,-6.344939999999996,1
3.596335312713332,23.0,13.0,894.1355521980901,454.94,-6.344939999999996,1
3.596335312713332,23.0,13.0,894.1355521980901,454.94,-6.344939999999996,1
2.854366315233849,8.0,7.0,339.99604914799994,203.44,-2.9858000000000007,5
8.076443344991414,13.0,11.0,540.0046384059999,335.57,-5.126800000000001,2
1.8511475274909783,10.0,5.0,347.0630844179999,186.07,-2.67203,4
2.337843319857404,5.0,4.0,214.024239322,116.45,-1.4361000000000004,5
2.337843319857404,5.0,4.0,214.024239322,116.45,-1.4361000000000004,5
4.0272527200581285,19.0,11.0,721.0199847839998,395.58,-3.874130000000002,2
2.854366315233849,8.0,7.0,339.99604914799994,203.44,-2.9858000000000007,5
4.842024953570448,17.0,12.0,664.0319157739999,374.75,-3.922520000000001,2
4.842024953570448,17.0,12.0,664.0319157739999,374.75,-3.922520000000001,2
4.842024953570448,17.0,12.0,664.0319157739999,374.75,-3.922520000000001,2
4.842024953570448,17.0,12.0,664.0319157739999,374.75,-3.922520000000001,2
1.696297416547441,13.0,7.0,507.9797610499998,273.0799999999999,-1.4464300000000003,5
1.696297416547441,13.0,7.0,507.9797610499998,273.0799999999999,-1.4464300000000003,5
3.1811722098739743,22.0,13.0,963.1583533060896,472.88,-3.728789999999997,2
3.1811722098739743,22.0,13.0,963.1583533060896,472.88,-3.728789999999997,2
3.1811722098739743,22.0,13.0,963.1583533060896,472.88,-3.728789999999997,2
6.729652656833608,3.0,5.0,188.008589258,135.29,-1.4768,2
6.729652656833608,3.0,5.0,188.008589258,135.29,-1.4768,2
4.509828513106365,17.0,11.0,621.0720675999999,359.79,-5.37504,1
4.509828513106365,17.0,11.0,621.0720675999999,359.79,-5.37504,1
1.4452292617186506,9.0,6.0,475.1815461399999,225.48,-2.023859999999995,3
1.6894094002007245,14.0,7.0,525.0063101459998,310.63,-3.2627300000000017,2
1.6894094002007245,14.0,7.0,525.0063101459998,310.63,-3.2627300000000017,5
1.6894094002007245,14.0,7.0,525.0063101459998,310.63,-3.2627300000000017,3
