Unnamed: 0,SabioReactionID,Reaction,MW,logP,TPSA,Rings Count,Aromatic Rings,Heavy atoms cout,Alifatic Rings,CSP3,BalabanJ,RotatableBonds,H-bond donor,H-bond acceptor,MW.1,logP.1,TPSA.1,Rings Count.1,Aromatic Rings.1,Heavy atoms cout.1,Alifatic Rings.1,CSP3.1,BalabanJ.1,RotatableBonds.1,H-bond donor.1,H-bond acceptor.1,ECNumber
1,1,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O)OP(=O)(O)O>>C([C@@H]1[C@H]([C@@H]([C@](O1)(CO)O)O)O)OP(=O)(O)O,260.02971862600003,-3.104399999999999,156.91,1.0,1.0,16.0,1.0,1.0,2.572326379287313,3.0,6.0,7.0,260.02971862600003,-3.1028,156.91,1.0,1.0,16.0,1.0,1.0,2.613201181998435,4.0,6.0,7.0,5.3.1.9
2,2,Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O)).C([C@@H]1[C@H]([C@@H]([C@](O1)(CO)O)O)O)OP(=O)(O)O>>OC1C(COP(O)(O)=O)OC(O)(COP(O)(O)=O)C1(O).Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O)),767.0254640879998,-4.731800000000001,436.04,4.0,2.0,47.0,2.0,1.5,4.30261058219916,12.0,13.0,21.0,767.0254640879998,-4.731800000000001,436.04,4.0,2.0,47.0,2.0,1.5,4.422680439879217,12.0,13.0,20.0,2.7.1.11
3,3,OC1C(COP(O)(O)=O)OC(O)(COP(O)(O)=O)C1(O)>>[H]C(O)(C=O)COP(O)(O)=O.OCC(=O)COP(O)(O)=O,339.9960491479999,-2.9858,203.44,1.0,1.0,20.0,1.0,1.0,2.6740286330746827,6.0,7.0,8.0,339.996049148,-2.6874000000000007,208.12,0.0,0.0,20.0,0.0,1.3333333333333333,7.111275753771958,8.0,6.0,8.0,4.1.2.13
4,4,[H]C(O)(C=O)COP(O)(O)=O>>OCC(=O)COP(O)(O)=O,169.998024574,-1.3445000000000005,104.06,0.0,0.0,10.0,0.0,0.6666666666666666,3.550748721097319,4.0,3.0,4.0,169.998024574,-1.3429000000000002,104.06,0.0,0.0,10.0,0.0,0.6666666666666666,3.560527032674639,4.0,3.0,4.0,5.3.1.1
5,5,[H]C(O)(C=O)COP(O)(O)=O.OP(O)(O)=O.c1cc(c[n+](c1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O)O)O)C(=O)N>>[H].NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).OC(COP(O)(O)=O)C(=O)OP(O)(O)=O,932.09131803609,-5.288999999999998,500.0799999999999,5.0,2.0,59.0,2.0,1.1428571428571428,8.180443307420967,15.0,14.0,22.0,932.0918666159998,-4.481399999999998,488.44,5.0,3.0,59.0,3.0,1.1904761904761905,5.270757946784707,16.0,13.0,24.0,1.2.1.13
5,5,[H]C(O)(C=O)COP(O)(O)=O.OP(O)(O)=O.c1cc(c[n+](c1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O)O)O)C(=O)N>>[H].NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).OC(COP(O)(O)=O)C(=O)OP(O)(O)=O,932.09131803609,-5.288999999999998,500.0799999999999,5.0,2.0,59.0,2.0,1.1428571428571428,8.180443307420967,15.0,14.0,22.0,932.0918666159998,-4.481399999999998,488.44,5.0,3.0,59.0,3.0,1.1904761904761905,5.270757946784707,16.0,13.0,24.0,1.2.1.9
5,5,[H]C(O)(C=O)COP(O)(O)=O.OP(O)(O)=O.c1cc(c[n+](c1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O)O)O)C(=O)N>>[H].NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).OC(COP(O)(O)=O)C(=O)OP(O)(O)=O,932.09131803609,-5.288999999999998,500.0799999999999,5.0,2.0,59.0,2.0,1.1428571428571428,8.180443307420967,15.0,14.0,22.0,932.0918666159998,-4.481399999999998,488.44,5.0,3.0,59.0,3.0,1.1904761904761905,5.270757946784707,16.0,13.0,24.0,1.2.1.12
6,6,OC(=O)C(O)COP(O)(O)=O.Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O))>>OC(COP(O)(O)=O)C(=O)OP(O)(O)=O.Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O)),692.9886846559998,-3.087800000000001,403.42,3.0,1.0,42.0,1.0,1.1666666666666663,5.4103939640235685,12.0,11.0,18.0,692.9886846559999,-3.653500000000001,403.42,3.0,1.0,42.0,1.0,1.1666666666666663,5.872214964434617,11.0,11.0,18.0,2.7.2.10
6,6,OC(=O)C(O)COP(O)(O)=O.Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O))>>OC(COP(O)(O)=O)C(=O)OP(O)(O)=O.Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O)),692.9886846559998,-3.087800000000001,403.42,3.0,1.0,42.0,1.0,1.1666666666666663,5.4103939640235685,12.0,11.0,18.0,692.9886846559999,-3.653500000000001,403.42,3.0,1.0,42.0,1.0,1.1666666666666663,5.872214964434617,11.0,11.0,18.0,2.7.2.3
8,8,OCC(OP(O)(O)=O)C(O)=O>>[H]O[H].C=C(OP(O)(O)=O)C(O)=O,185.992939194,-1.4588000000000003,124.29000000000002,0.0,0.0,11.0,0.0,0.6666666666666666,4.101477779413871,4.0,4.0,4.0,185.99293919400003,-1.1307,135.56,0.0,0.0,11.0,0.0,0.0,4.067302180177984,3.0,3.0,3.0,4.2.1.11
