MW,logP,TPSA,Rings Count,Aromatic Rings,Heavy atoms count,Aliphatic Rings,CSP3,BalabanJ,Rotatable Bonds,H-bond donor,H-bond acceptor,Smiles
260.02971862600003,-3.104399999999999,156.91,1,1,16,1,1.0,2.572326379287313,3,6,7,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O)OP(=O)(O)O
260.02971862600003,-3.1027999999999993,156.91,1,1,16,1,1.0,2.613201181998435,4,6,7,C([C@@H]1[C@H]([C@@H]([C@](O1)(CO)O)O)O)OP(=O)(O)O
506.9957454619998,-1.629000000000001,279.13,3,1,31,1,0.5,1.6894094002007245,8,7,14,Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O))
339.9960491479999,-2.9858,203.44,1,1,20,1,1.0,2.6740286330746827,6,7,8,OC1C(COP(O)(O)=O)OC(O)(COP(O)(O)=O)C1(O)
427.02941493999987,-1.7460000000000009,232.59999999999997,3,1,27,1,0.5,1.748651806804535,6,6,12,Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O))
169.998024574,-1.3445000000000003,104.06,0,0,10,0,0.6666666666666666,3.550748721097319,4,3,4,[H]C(O)(C=O)COP(O)(O)=O
169.998024574,-1.3429000000000002,104.06,0,0,10,0,0.6666666666666666,3.560527032674639,4,3,4,OCC(=O)COP(O)(O)=O
1.007825032,0.1125,0.0,0,0,0,0,0.0,0.0,0,0,0,[H]
665.1247718679998,-2.6863999999999977,317.62,5,3,44,3,0.5238095238095238,1.1471947891546252,11,8,18,NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O)
265.959269716,-1.9075000000000004,170.82,0,0,15,0,0.6666666666666666,4.123563157630082,5,5,6,OC(COP(O)(O)=O)C(=O)OP(O)(O)=O
97.97689520600001,-0.9286000000000001,77.75999999999999,0,0,5,0,0.0,3.472066495600119,0,3,1,OP(O)(O)=O
664.1163982560901,-3.0158999999999976,318.25999999999993,5,2,44,2,0.47619047619047616,1.1576280907235286,11,8,17,c1cc(c[n+](c1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O)O)O)C(=O)N
185.992939194,-1.4588,124.29000000000002,0,0,11,0,0.6666666666666666,3.720984563822844,4,4,4,OC(=O)C(O)COP(O)(O)=O
18.010564684,-0.8247,31.5,0,0,1,0,0.0,0.0,0,0,0,[H]O[H]
167.98237451000003,-0.3060000000000001,104.06,0,0,10,0,0.0,4.067302180177984,3,3,3,C=C(OP(O)(O)=O)C(O)=O
185.992939194,-1.4588000000000003,124.29000000000002,0,0,11,0,0.6666666666666666,4.101477779413871,4,4,4,OCC(OP(O)(O)=O)C(O)=O
88.016043988,-0.3399999999999999,54.37,0,0,6,0,0.3333333333333333,3.5677034550432034,1,1,2,CC(=O)C(O)=O
180.063388104,-3.2214000000000005,110.38000000000001,1,1,12,1,1.0,2.6344089870615974,1,5,6,OCC1OC(O)C(O)C(O)C1(O)
260.02971862600003,-3.1043999999999996,156.91,1,1,16,1,1.0,2.7478463984132655,3,6,7,OCC1OC(OP(O)(O)=O)C(O)C(O)C1(O)
260.02971862600003,-3.1043999999999996,156.91,1,1,16,1,1.0,2.572326379287314,3,6,7,OC1OC(COP(O)(O)=O)C(O)C(O)C1(O)
507.9797610499998,-1.9179000000000008,273.0799999999999,3,1,31,1,0.5,1.696297416547441,8,7,13,O=C3NC=Nc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O))
428.01343052799984,-2.034900000000001,226.54999999999995,3,1,27,1,0.5,1.758238512460542,6,6,11,O=C3NC=Nc1c3(ncn1C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O))
491.00083084199974,-0.5998,258.9,3,1,30,1,0.5,1.6365118173362256,8,6,13,Nc3ncnc2c3(ncn2(C1CC(O)C(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O1))
411.03450031999984,-0.7168000000000001,212.36999999999998,3,1,26,1,0.5,1.686753116601419,6,5,11,Nc3ncnc2c3(ncn2(C1CC(O)C(COP(O)(=O)OP(O)(O)=O)O1))
744.0827287780897,-2.898899999999997,364.7899999999999,5,2,48,2,0.47619047619047616,1.2093210089871331,13,9,18,NC(=O)c1ccc[n+](c1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O)
258.01406856200003,-2.8962,153.75,1,1,16,1,0.8333333333333334,2.608138908238463,3,5,7,O=C1OC(COP(O)(O)=O)C(O)C(O)C1(O)
745.0911023899998,-2.569399999999997,364.1499999999999,5,3,48,3,0.5238095238095238,1.1997576602685036,13,9,19,NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O)
178.04773804,-3.0132,107.22000000000001,1,1,12,1,0.8333333333333334,2.700156133679265,1,4,6,OCC1OC(=O)C(O)C(O)C1(O)
384.12158874,-1.4370999999999994,182.62999999999997,3,1,26,1,0.5714285714285714,1.6383653242366965,7,5,11,NC(CCSCC1OC(C(O)C1(O))n3cnc2c(N)ncnc23)C(O)=O
