MW_R,logP_R,TPSA_R,Rings Count_R,Aromatic Rings_R,Heavy atoms cout_R,Alifatic Rings_R,CSP3_R,BalabanJ_R,RotatableBonds_R,H-bond donor_R,H-bond acceptor_R,MW_P,logP_P,TPSA_P,Rings Count_P,Aromatic Rings_P,Heavy atoms cout_P,Alifatic Rings_P,CSP3_P,BalabanJ_P,RotatableBonds_P,H-bond donor_P,H-bond acceptor_P
260.02971862600003,-3.104399999999999,156.91,1.0,1.0,16.0,1.0,1.0,2.572326379287313,3.0,6.0,7.0,260.02971862600003,-3.1028,156.91,1.0,1.0,16.0,1.0,1.0,2.613201181998435,4.0,6.0,7.0
260.02971862600003,-3.1028,156.91,1.0,1.0,16.0,1.0,1.0,2.613201181998435,4.0,6.0,7.0,339.9960491479999,-2.9858,203.44,1.0,1.0,20.0,1.0,1.0,2.6740286330746827,6.0,7.0,8.0
339.9960491479999,-2.9858,203.44,1.0,1.0,20.0,1.0,1.0,2.6740286330746827,6.0,7.0,8.0,169.998024574,-1.3445000000000005,104.06,0.0,0.0,10.0,0.0,0.6666666666666666,3.550748721097319,4.0,3.0,4.0
169.998024574,-1.3445000000000005,104.06,0.0,0.0,10.0,0.0,0.6666666666666666,3.550748721097319,4.0,3.0,4.0,169.998024574,-1.3429000000000002,104.06,0.0,0.0,10.0,0.0,0.6666666666666666,3.560527032674639,4.0,3.0,4.0
97.976895206,-0.9286,77.75999999999999,0.0,0.0,5.0,0.0,0.0,3.472066495600119,0.0,3.0,1.0,1.007825032,0.1125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97.976895206,-0.9286,77.75999999999999,0.0,0.0,5.0,0.0,0.0,3.472066495600119,0.0,3.0,1.0,1.007825032,0.1125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97.976895206,-0.9286,77.75999999999999,0.0,0.0,5.0,0.0,0.0,3.472066495600119,0.0,3.0,1.0,1.007825032,0.1125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
506.9957454619998,-1.629000000000001,279.13,3.0,1.0,31.0,1.0,0.5,1.6894094002007245,8.0,7.0,14.0,265.959269716,-1.9075000000000004,170.82,0.0,0.0,15.0,0.0,0.6666666666666666,4.123563157630082,5.0,5.0,6.0
506.9957454619998,-1.629000000000001,279.13,3.0,1.0,31.0,1.0,0.5,1.6894094002007245,8.0,7.0,14.0,265.959269716,-1.9075000000000004,170.82,0.0,0.0,15.0,0.0,0.6666666666666666,4.123563157630082,5.0,5.0,6.0
185.992939194,-1.4588000000000003,124.29000000000002,0.0,0.0,11.0,0.0,0.6666666666666666,4.101477779413871,4.0,4.0,4.0,18.010564684,-0.8247,31.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
88.016043988,-0.3399999999999999,54.37,0.0,0.0,6.0,0.0,0.3333333333333333,3.5677034550432034,1.0,1.0,2.0,427.0294149399999,-1.7460000000000009,232.6,3.0,1.0,27.0,1.0,0.5,1.748651806804535,6.0,6.0,12.0
180.063388104,-3.2214000000000005,110.38,1.0,1.0,12.0,1.0,1.0,2.634408987061597,1.0,5.0,6.0,427.0294149399999,-1.7460000000000009,232.6,3.0,1.0,27.0,1.0,0.5,1.748651806804535,6.0,6.0,12.0
180.063388104,-3.2214000000000005,110.38,1.0,1.0,12.0,1.0,1.0,2.634408987061597,1.0,5.0,6.0,427.0294149399999,-1.7460000000000009,232.6,3.0,1.0,27.0,1.0,0.5,1.748651806804535,6.0,6.0,12.0
260.02971862600003,-3.1044,156.91,1.0,1.0,16.0,1.0,1.0,2.747846398413265,3.0,6.0,7.0,260.02971862600003,-3.104399999999999,156.91,1.0,1.0,16.0,1.0,1.0,2.572326379287313,3.0,6.0,7.0
260.02971862600003,-3.104399999999999,156.91,1.0,1.0,16.0,1.0,1.0,2.572326379287313,3.0,6.0,7.0,260.02971862600003,-3.1044,156.91,1.0,1.0,16.0,1.0,1.0,2.572326379287314,3.0,6.0,7.0
180.063388104,-3.2214000000000005,110.38,1.0,1.0,12.0,1.0,1.0,2.634408987061597,1.0,5.0,6.0,428.01343052799984,-2.034900000000001,226.54999999999995,3.0,1.0,27.0,1.0,0.5,1.758238512460542,6.0,6.0,11.0
180.063388104,-3.2214000000000005,110.38,1.0,1.0,12.0,1.0,1.0,2.634408987061597,1.0,5.0,6.0,260.02971862600003,-3.1044,156.91,1.0,1.0,16.0,1.0,1.0,2.572326379287314,3.0,6.0,7.0
260.02971862600003,-3.1044,156.91,1.0,1.0,16.0,1.0,1.0,2.572326379287314,3.0,6.0,7.0,1.007825032,0.1125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
664.1163982560901,-3.0158999999999976,318.25999999999993,5.0,2.0,44.0,2.0,0.4761904761904761,1.1576280907235286,11.0,8.0,17.0,178.04773804,-3.0132,107.22,1.0,1.0,12.0,1.0,0.8333333333333334,2.700156133679265,1.0,4.0,6.0
664.1163982560901,-3.0158999999999976,318.25999999999993,5.0,2.0,44.0,2.0,0.4761904761904761,1.1576280907235286,11.0,8.0,17.0,178.04773804,-3.0132,107.22,1.0,1.0,12.0,1.0,0.8333333333333334,2.700156133679265,1.0,4.0,6.0
664.1163982560901,-3.0158999999999976,318.25999999999993,5.0,2.0,44.0,2.0,0.4761904761904761,1.1576280907235286,11.0,8.0,17.0,178.04773804,-3.0132,107.22,1.0,1.0,12.0,1.0,0.8333333333333334,2.700156133679265,1.0,4.0,6.0
609.123709248,-0.6177999999999992,249.29,5.0,3.0,40.0,3.0,0.75,1.2850390782683692,12.0,5.0,16.0,384.12158874,-1.4370999999999994,182.63,3.0,1.0,26.0,1.0,0.5714285714285714,1.6383653242366965,7.0,5.0,11.0
18.010564684,-0.8247,31.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,97.976895206,-0.9286,77.75999999999999,0.0,0.0,5.0,0.0,0.0,3.472066495600119,0.0,3.0,1.0
260.02971862600003,-3.1028,156.91,1.0,1.0,16.0,1.0,1.0,2.613201181998436,4.0,6.0,7.0,404.0021971479999,-2.6179,217.84,2.0,1.0,25.0,1.0,0.5555555555555556,2.0941785551571823,6.0,6.0,10.0
260.02971862600003,-3.1028,156.91,1.0,1.0,16.0,1.0,1.0,2.613201181998436,4.0,6.0,7.0,403.0181815599999,-2.329,223.89,2.0,1.0,25.0,1.0,0.5555555555555556,2.081811721000704,6.0,6.0,11.0
260.02971862600003,-3.1028,156.91,1.0,1.0,16.0,1.0,1.0,2.613201181998436,4.0,6.0,7.0,428.01343052799984,-2.034900000000001,226.54999999999995,3.0,1.0,27.0,1.0,0.5,1.758238512460542,6.0,6.0,11.0
339.99604914799994,-2.9858000000000007,203.44,1.0,1.0,20.0,1.0,1.0,2.854366315233849,6.0,7.0,8.0,97.976895206,-0.9286,77.75999999999999,0.0,0.0,5.0,0.0,0.0,3.472066495600119,0.0,3.0,1.0
260.02971862600003,-3.1028,156.91,1.0,1.0,16.0,1.0,1.0,2.613201181998435,4.0,6.0,7.0,339.9960491479999,-2.9858,203.44,1.0,1.0,20.0,1.0,1.0,2.6740286330746827,6.0,7.0,8.0
146.06914218,-1.3361999999999998,106.41,0.0,0.0,10.0,0.0,0.6,3.4907296603908136,4.0,3.0,3.0,259.04570303800006,-3.1379999999999995,162.7,1.0,1.0,16.0,1.0,1.0,2.572326379287314,3.0,6.0,7.0
259.04570303800006,-3.1379999999999995,162.7,1.0,1.0,16.0,1.0,1.0,2.572326379287314,3.0,6.0,7.0,17.026549096,0.1619999999999999,35.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
260.02971862600003,-3.1028,156.91,1.0,1.0,16.0,1.0,1.0,2.613201181998436,4.0,6.0,7.0,18.010564684,-0.8247,31.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
290.04028331,-3.8992999999999993,184.98,0.0,0.0,18.0,0.0,0.8571428571428571,4.401427842947245,8.0,7.0,8.0,370.0066138319999,-3.782300000000001,231.51,0.0,0.0,22.0,0.0,0.8571428571428571,4.525694623894094,10.0,8.0,9.0
370.0066138319999,-3.782300000000001,231.51,0.0,0.0,22.0,0.0,0.8571428571428571,4.525694623894094,10.0,8.0,9.0,169.998024574,-1.3429000000000002,104.06,0.0,0.0,10.0,0.0,0.6666666666666666,3.560527032674639,4.0,3.0,4.0
