0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1,1,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O)OP(=O)(O)O>>C([C@@H]1[C@H]([C@@H]([C@](O1)(CO)O)O)O)OP(=O)(O)O,,,1.0,2.572326379287313,1.0,7.0,6.0,,,260.02971862600003,1.0,,,156.91,-3.104399999999999,,,1.0,2.613201181998435,1.0,7.0,6.0,,,260.02971862600003,1.0,,,156.91,-3.1028
2,2,Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O)).C([C@@H]1[C@H]([C@@H]([C@](O1)(CO)O)O)O)OP(=O)(O)O>>OC1C(COP(O)(O)=O)OC(O)(COP(O)(O)=O)C1(O).Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O)),,,2.0,4.30261058219916,1.5,21.0,13.0,,,767.0254640879998,4.0,,,436.03999999999996,-5.5408300000000015,,,2.0,4.422680439879217,1.5,20.0,13.0,,,767.0254640879998,4.0,,,436.03999999999996,-5.540830000000001
3,3,OC1C(COP(O)(O)=O)OC(O)(COP(O)(O)=O)C1(O)>>[H]C(O)(C=O)COP(O)(O)=O.OCC(=O)COP(O)(O)=O,,,1.0,2.6740286330746827,1.0,8.0,7.0,,,339.9960491479999,1.0,,,203.44,-2.9858,,,0.0,7.111275753771958,1.3333333333333333,8.0,6.0,,,339.996049148,0.0,,,208.12,-2.6874000000000007
4,4,[H]C(O)(C=O)COP(O)(O)=O>>OCC(=O)COP(O)(O)=O,,,0.0,3.550748721097319,0.6666666666666666,4.0,3.0,,,169.998024574,0.0,,,104.06,-1.3445000000000005,,,0.0,3.560527032674639,0.6666666666666666,4.0,3.0,,,169.998024574,0.0,,,104.06,-1.3429000000000002
5,5,[H]C(O)(C=O)COP(O)(O)=O.OP(O)(O)=O.c1cc(c[n+](c1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O)O)O)C(=O)N>>[H].NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).OC(COP(O)(O)=O)C(=O)OP(O)(O)=O,,,2.0,8.180443307420967,1.1428571428571428,22.0,14.0,,,932.0913180360901,5.0,,,500.0799999999999,-6.152739999999995,,,3.0,5.270757946784707,1.1904761904761905,24.0,13.0,,,932.0918666159998,5.0,,,488.44,-5.290429999999997
6,6,OC(=O)C(O)COP(O)(O)=O.Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O))>>OC(COP(O)(O)=O)C(=O)OP(O)(O)=O.Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O)),,,1.0,5.4103939640235685,1.1666666666666665,18.0,11.0,,,692.9886846559998,3.0,,,403.42,-3.896830000000002,,,1.0,5.872214964434617,1.1666666666666665,18.0,11.0,,,692.9886846559999,3.0,,,403.41999999999996,-4.462530000000001
8,8,OCC(OP(O)(O)=O)C(O)=O>>[H]O[H].C=C(OP(O)(O)=O)C(O)=O,,,0.0,4.101477779413871,0.6666666666666666,4.0,4.0,,,185.992939194,0.0,,,124.29000000000002,-1.4588000000000003,,,0.0,4.067302180177984,0.0,3.0,3.0,,,185.99293919400003,0.0,,,135.56,-1.1307
9,9,Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O)).CC(=O)C(O)=O>>Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O)).C=C(OP(O)(O)=O)C(O)=O,,,1.0,5.257112855243928,0.8333333333333333,16.0,8.0,,,595.0117894499998,3.0,,,333.5,-2.7780300000000016,,,1.0,5.815953986982519,0.5,15.0,9.0,,,595.0117894499999,3.0,,,336.65999999999997,-2.861030000000001
10,10,Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O)).OCC1OC(O)C(O)C(O)C1(O)>>Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O)).C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O)OP(=O)(O)O,,,2.0,4.323818387262321,1.5,20.0,12.0,,,687.0591335659998,4.0,,,389.51,-5.659430000000002,,,2.0,4.320978186091848,1.5,19.0,12.0,,,687.0591335659999,4.0,,,389.51,-5.65943
11,11,OCC1OC(OP(O)(O)=O)C(O)C(O)C1(O)>>C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O)OP(=O)(O)O,,,1.0,2.747846398413265,1.0,7.0,6.0,,,260.02971862600003,1.0,,,156.91,-3.1044,,,1.0,2.572326379287313,1.0,7.0,6.0,,,260.02971862600003,1.0,,,156.91,-3.104399999999999
12,12,[*]NC(=O)C(Cc1cncn1P(O)(O)=O)NC([*])=O.OCC1OC(O)C(O)C(O)C1(O)>>[*]NC(=O)C(Cc1cncn1)NC([*])=O.C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O)OP(=O)(O)O,,,2.0,5.20673536634891,2.0,13.0,11.0,,,440.09310673000004,2.0,,,267.28999999999996,-6.325800000000001,,,1.0,5.54334193488772,1.2857142857142856,12.0,10.0,,,520.060774644,2.0,,,290.46000000000004,-4.584709999999999
13,13,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O)OP(=O)(O)O>>OC1OC(COP(O)(O)=O)C(O)C(O)C1(O),,,1.0,2.572326379287313,1.0,7.0,6.0,,,260.02971862600003,1.0,,,156.91,-3.104399999999999,,,1.0,1.696297416547441,0.5,13.0,7.0,,,507.9797610499998,3.0,,,273.0799999999999,-1.4464300000000003
14,14,O=C3NC=Nc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O)).OCC1OC(O)C(O)C(O)C1(O)>>O=C3NC=Nc1c3(ncn1C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O)).OC1OC(COP(O)(O)=O)C(O)C(O)C1(O),,,2.0,4.392647499522139,1.5,17.0,11.0,,,608.0768186319999,4.0,,,336.92999999999995,-4.784830000000001,,,2.0,3.3328092338836663,1.0,26.0,13.0,,,998.9805918919994,6.0,,,531.9799999999999,-2.855260000000001
15,15,Nc3ncnc2c3(ncn2(C1CC(O)C(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O1)).OCC1OC(O)C(O)C(O)C1(O)>>OC1OC(COP(O)(O)=O)C(O)C(O)C1(O).Nc3ncnc2c3(ncn2(C1CC(O)C(COP(O)(=O)OP(O)(O)=O)O1)),,,2.0,4.321162103663016,1.5,17.0,10.0,,,591.0978884239998,4.0,,,322.75,-4.747230000000001,,,3.0,2.9056184255345743,0.976190476190476,31.0,16.0,,,1252.0624898280896,8.0,,,637.8699999999999,-5.209069999999997
17,17,[H]O[H].C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O)OP(=O)(O)O>>OP(O)(O)=O.OCC1OC(O)C(O)C(O)C1(O),,,1.0,2.572326379287313,1.0,7.0,6.0,,,278.04028331,1.0,,,188.41,-3.929099999999999,,,1.0,6.1064754826617165,1.0,7.0,8.0,,,278.04028331,1.0,,,188.14,-4.15
