,SabioReactionID,Name,Role,Smiles
0,1,alpha-D-Glucose 6-phosphate,Substrate,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O)OP(=O)(O)O
1,1,beta-D-Fructose 6-phosphate,Product,C([C@@H]1[C@H]([C@@H]([C@](O1)(CO)O)O)O)OP(=O)(O)O
2,2,ATP,Substrate,Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O))
3,2,"beta-D-Fructose 1,6-bisphosphate",Product,OC1C(COP(O)(O)=O)OC(O)(COP(O)(O)=O)C1(O)
4,2,ADP,Product,Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O))
5,2,beta-D-Fructose 6-phosphate,Substrate,C([C@@H]1[C@H]([C@@H]([C@](O1)(CO)O)O)O)OP(=O)(O)O
6,3,D-Glyceraldehyde 3-phosphate,Product,[H]C(O)(C=O)COP(O)(O)=O
7,3,Glycerone phosphate,Product,OCC(=O)COP(O)(O)=O
8,3,"beta-D-Fructose 1,6-bisphosphate",Substrate,OC1C(COP(O)(O)=O)OC(O)(COP(O)(O)=O)C1(O)
9,4,D-Glyceraldehyde 3-phosphate,Substrate,[H]C(O)(C=O)COP(O)(O)=O
10,4,Glycerone phosphate,Product,OCC(=O)COP(O)(O)=O
11,5,H+,Product,[H]
12,5,NADH,Product,NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O)
13,5,D-Glyceraldehyde 3-phosphate,Substrate,[H]C(O)(C=O)COP(O)(O)=O
14,5,"Glycerate 1,3-bisphosphate",Product,OC(COP(O)(O)=O)C(=O)OP(O)(O)=O
15,5,Phosphate,Substrate,OP(O)(O)=O
16,5,NAD+,Substrate,c1cc(c[n+](c1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O)O)O)C(=O)N
17,6,"Glycerate 1,3-bisphosphate",Product,OC(COP(O)(O)=O)C(=O)OP(O)(O)=O
18,6,Glycerate 3-phosphate,Substrate,OC(=O)C(O)COP(O)(O)=O
19,6,ADP,Product,Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O))
20,6,ATP,Substrate,Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O))
23,8,H2O,Product,[H]O[H]
24,8,Phosphoenolpyruvate,Product,C=C(OP(O)(O)=O)C(O)=O
25,8,2-Phospho-D-glycerate,Substrate,OCC(OP(O)(O)=O)C(O)=O
26,9,ATP,Substrate,Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O))
27,9,ADP,Product,Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O))
28,9,Phosphoenolpyruvate,Product,C=C(OP(O)(O)=O)C(O)=O
29,9,Pyruvate,Substrate,CC(=O)C(O)=O
30,10,ADP,Product,Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O))
31,10,ATP,Substrate,Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O))
32,10,alpha-D-Glucose,Substrate,OCC1OC(O)C(O)C(O)C1(O)
33,10,alpha-D-Glucose 6-phosphate,Product,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O)OP(=O)(O)O
34,11,D-Glucose 1-phosphate,Substrate,OCC1OC(OP(O)(O)=O)C(O)C(O)C1(O)
35,11,alpha-D-Glucose 6-phosphate,Product,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O)OP(=O)(O)O
36,12,Protein histidine,Product,[*]NC(=O)C(Cc1cncn1)NC([*])=O
37,12,alpha-D-Glucose 6-phosphate,Product,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O)OP(=O)(O)O
38,12,Protein N-phosphohistidine,Substrate,[*]NC(=O)C(Cc1cncn1P(O)(O)=O)NC([*])=O
39,12,D-Glucose,Substrate,OCC1OC(O)C(O)C(O)C1(O)
40,13,alpha-D-Glucose 6-phosphate,Substrate,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O)OP(=O)(O)O
41,13,beta-D-Glucose 6-phosphate,Product,OC1OC(COP(O)(O)=O)C(O)C(O)C1(O)
42,14,ITP,Substrate,O=C3NC=Nc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O))
43,14,D-Glucose,Substrate,OCC1OC(O)C(O)C(O)C1(O)
44,14,IDP,Product,O=C3NC=Nc1c3(ncn1C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O))
45,14,D-Glucose 6-phosphate,Product,OC1OC(COP(O)(O)=O)C(O)C(O)C1(O)
46,15,dATP,Substrate,Nc3ncnc2c3(ncn2(C1CC(O)C(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O1))
47,15,D-Glucose 6-phosphate,Product,OC1OC(COP(O)(O)=O)C(O)C(O)C1(O)
48,15,D-Glucose,Substrate,OCC1OC(O)C(O)C(O)C1(O)
49,15,dADP,Product,Nc3ncnc2c3(ncn2(C1CC(O)C(COP(O)(=O)OP(O)(O)=O)O1))
50,17,Phosphate,Product,OP(O)(O)=O
51,17,H2O,Substrate,[H]O[H]
52,17,alpha-D-Glucose,Product,OCC1OC(O)C(O)C(O)C1(O)
53,17,alpha-D-Glucose 6-phosphate,Substrate,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O)OP(=O)(O)O
54,18,NADP+,Substrate,NC(=O)c1ccc[n+](c1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O)
55,18,H+,Product,[H]
56,18,"6-Phospho-D-glucono-1,5-lactone",Product,O=C1OC(COP(O)(O)=O)C(O)C(O)C1(O)
57,18,NADPH,Product,NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O)
58,18,beta-D-Glucose 6-phosphate,Substrate,OC1OC(COP(O)(O)=O)C(O)C(O)C1(O)
59,19,"D-Glucono-1,5-lactone",Product,OCC1OC(=O)C(O)C(O)C1(O)
60,19,D-Glucose,Substrate,OCC1OC(O)C(O)C(O)C1(O)
61,19,H+,Product,[H]
62,19,NADH,Product,NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O)
63,19,NAD+,Substrate,c1cc(c[n+](c1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O)O)O)C(=O)N
64,20,S-Adenosyl-L-homocysteine,Product,NC(CCSCC1OC(C(O)C1(O))n3cnc2c(N)ncnc23)C(O)=O
65,20,S-Adenosyl-L-methionine,Substrate,C[S+](CCC(N)C(O)=O)CC1OC(C(O)C1(O))n3cnc2c(N)ncnc23
66,20,DNA adenine,Substrate,[*]C5CC(O)C(COP(O)(=O)OC2CC(OC2(COP(O)(=O)OC1CC([*])OC1(CO)))n4cnc3c(N)ncnc34)O5
67,20,DNA 6-methylaminopurine,Product,[*]C5CC(OP(O)(=O)OCC4OC([*])CC4(OP(O)(=O)OCC1OC(CC1(O))n3cnc2c(NC)ncnc23))C(CO)O5
68,21,"beta-D-Fructose 1,6-bisphosphate",Substrate,OC1C(COP(O)(O)=O)OC(O)(COP(O)(O)=O)C1(O)
69,21,Phosphate,Product,OP(O)(O)=O
70,21,H2O,Substrate,[H]O[H]
71,21,beta-D-Fructose 6-phosphate,Product,C([C@@H]1[C@H]([C@@H]([C@](O1)(CO)O)O)O)OP(=O)(O)O
72,22,UTP,Substrate,O=C1C=CN(C(=O)N1)C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O)
73,22,UDP,Product,O=C1C=CN(C(=O)N1)C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O)
74,22,D-Fructose 6-phosphate,Substrate,OCC1(O)(OC(COP(O)(O)=O)C(O)C1(O))
75,22,"D-Fructose 1,6-bisphosphate",Product,OC1C(COP(O)(O)=O)OC(O)(COP(O)(O)=O)C1(O)
76,23,CTP,Substrate,NC=1C=CN(C(=O)N=1)C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O)
77,23,CDP,Product,NC=1C=CN(C(=O)N=1)C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O)
78,23,D-Fructose 6-phosphate,Substrate,OCC1(O)(OC(COP(O)(O)=O)C(O)C1(O))
79,23,"D-Fructose 1,6-bisphosphate",Product,OC1C(COP(O)(O)=O)OC(O)(COP(O)(O)=O)C1(O)
80,24,ITP,Substrate,O=C3NC=Nc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O))
81,24,IDP,Product,O=C3NC=Nc1c3(ncn1C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O))
82,24,D-Fructose 6-phosphate,Substrate,OCC1(O)(OC(COP(O)(O)=O)C(O)C1(O))
