MW_P,logP_P,TPSA_P,Rings Count_P,Aromatic Rings_P,Heavy atoms cout_P,Alifatic Rings_P,CSP3_P,BalabanJ_P,RotatableBonds_P,H-bond donor_P,H-bond acceptor_P
260.02971862600003,-3.1028,156.91,1.0,1.0,16.0,1.0,1.0,2.613201181998435,4.0,6.0,7.0
767.0254640879998,-4.731800000000001,436.03999999999996,4.0,2.0,47.0,2.0,1.5,4.422680439879217,12.0,13.0,20.0
339.996049148,-2.6874000000000007,208.12,0.0,0.0,20.0,0.0,1.3333333333333333,7.111275753771958,8.0,6.0,8.0
169.998024574,-1.3429000000000002,104.06,0.0,0.0,10.0,0.0,0.6666666666666666,3.560527032674639,4.0,3.0,4.0
266.967094748,-1.7950000000000004,170.82,0.0,0.0,15.0,0.0,0.6666666666666666,4.123563157630082,5.0,5.0,6.0
266.967094748,-1.7950000000000004,170.82,0.0,0.0,15.0,0.0,0.6666666666666666,4.123563157630082,5.0,5.0,6.0
266.967094748,-1.7950000000000004,170.82,0.0,0.0,15.0,0.0,0.6666666666666666,4.123563157630082,5.0,5.0,6.0
692.9886846559999,-3.653500000000001,403.41999999999996,3.0,1.0,42.0,1.0,1.1666666666666665,5.872214964434617,11.0,11.0,18.0
692.9886846559999,-3.653500000000001,403.41999999999996,3.0,1.0,42.0,1.0,1.1666666666666665,5.872214964434617,11.0,11.0,18.0
185.99293919400003,-1.1307,135.56,0.0,0.0,11.0,0.0,0.0,4.067302180177984,3.0,3.0,3.0
595.0117894499999,-2.052000000000001,336.65999999999997,3.0,1.0,37.0,1.0,0.5,5.815953986982519,9.0,9.0,15.0
687.0591335659999,-4.8504000000000005,389.51,4.0,2.0,43.0,2.0,1.5,4.320978186091848,9.0,12.0,19.0
687.0591335659999,-4.8504000000000005,389.51,4.0,2.0,43.0,2.0,1.5,4.320978186091848,9.0,12.0,19.0
260.02971862600003,-3.104399999999999,156.91,1.0,1.0,16.0,1.0,1.0,2.572326379287313,3.0,6.0,7.0
260.02971862600003,-3.1044,156.91,1.0,1.0,16.0,1.0,1.0,2.572326379287314,3.0,6.0,7.0
688.0431491539998,-5.1393,383.4599999999999,4.0,2.0,43.0,2.0,1.5,4.330564891747856,9.0,12.0,18.0
671.0642189459999,-3.8212,369.28,4.0,2.0,42.0,2.0,1.5,4.259079495888733,9.0,11.0,18.0
746.0989274219999,-2.456899999999997,364.1499999999999,5.0,3.0,48.0,3.0,0.5238095238095238,1.1997576602685036,13.0,9.0,19.0
843.1725099079998,-5.699599999999998,424.84000000000003,6.0,4.0,56.0,4.0,1.3571428571428572,3.8473509228338907,12.0,12.0,24.0
843.1725099079998,-5.699599999999998,424.84000000000003,6.0,4.0,56.0,4.0,1.3571428571428572,3.8473509228338907,12.0,12.0,24.0
843.1725099079998,-5.699599999999998,424.84000000000003,6.0,4.0,56.0,4.0,1.3571428571428572,3.8473509228338907,12.0,12.0,24.0
