MW_R,logP_R,TPSA_R,Rings Count_R,Aromatic Rings_R,Heavy atoms cout_R,Alifatic Rings_R,CSP3_R,BalabanJ_R,RotatableBonds_R,H-bond donor_R,H-bond acceptor_R
260.02971862600003,-3.104399999999999,156.91,1.0,1.0,16.0,1.0,1.0,2.572326379287313,3.0,6.0,7.0
767.0254640879998,-4.731800000000001,436.03999999999996,4.0,2.0,47.0,2.0,1.5,4.30261058219916,12.0,13.0,21.0
339.9960491479999,-2.9858,203.44,1.0,1.0,20.0,1.0,1.0,2.6740286330746827,6.0,7.0,8.0
169.998024574,-1.3445000000000005,104.06,0.0,0.0,10.0,0.0,0.6666666666666666,3.550748721097319,4.0,3.0,4.0
834.11442283009,-4.3603999999999985,422.31999999999994,5.0,2.0,54.0,2.0,1.1428571428571428,4.708376811820848,15.0,11.0,21.0
834.11442283009,-4.3603999999999985,422.31999999999994,5.0,2.0,54.0,2.0,1.1428571428571428,4.708376811820848,15.0,11.0,21.0
834.11442283009,-4.3603999999999985,422.31999999999994,5.0,2.0,54.0,2.0,1.1428571428571428,4.708376811820848,15.0,11.0,21.0
692.9886846559998,-3.087800000000001,403.42,3.0,1.0,42.0,1.0,1.1666666666666665,5.4103939640235685,12.0,11.0,18.0
692.9886846559998,-3.087800000000001,403.42,3.0,1.0,42.0,1.0,1.1666666666666665,5.4103939640235685,12.0,11.0,18.0
185.992939194,-1.4588000000000003,124.29000000000002,0.0,0.0,11.0,0.0,0.6666666666666666,4.101477779413871,4.0,4.0,4.0
595.0117894499998,-1.9690000000000007,333.5,3.0,1.0,37.0,1.0,0.8333333333333333,5.257112855243928,9.0,8.0,16.0
687.0591335659998,-4.850400000000001,389.51,4.0,2.0,43.0,2.0,1.5,4.323818387262321,9.0,12.0,20.0
687.0591335659998,-4.850400000000001,389.51,4.0,2.0,43.0,2.0,1.5,4.323818387262321,9.0,12.0,20.0
260.02971862600003,-3.1044,156.91,1.0,1.0,16.0,1.0,1.0,2.747846398413265,3.0,6.0,7.0
260.02971862600003,-3.104399999999999,156.91,1.0,1.0,16.0,1.0,1.0,2.572326379287313,3.0,6.0,7.0
688.0431491539998,-5.139300000000001,383.4599999999999,4.0,2.0,43.0,2.0,1.5,4.330706403609038,9.0,12.0,19.0
671.0642189459998,-3.8212000000000006,369.28,4.0,2.0,42.0,2.0,1.5,4.270920804397822,9.0,11.0,19.0
1004.1124474040898,-6.003299999999998,521.6999999999999,6.0,3.0,64.0,3.0,1.476190476190476,3.781647388274447,16.0,15.0,25.0
844.17978636009,-6.237299999999998,428.63999999999993,6.0,3.0,56.0,3.0,1.476190476190476,3.7920370777851256,12.0,13.0,23.0
844.17978636009,-6.237299999999998,428.63999999999993,6.0,3.0,56.0,3.0,1.476190476190476,3.7920370777851256,12.0,13.0,23.0
844.17978636009,-6.237299999999998,428.63999999999993,6.0,3.0,56.0,3.0,1.476190476190476,3.7920370777851256,12.0,13.0,23.0
1008.2682245040901,-2.539999999999996,431.91999999999996,8.0,4.0,67.0,4.0,1.35,2.9667239519214252,19.0,10.0,26.0
